Progr;Date;Industrial Group;Industrial Group Descr;GKAM;Des GKAM;KAM;Des KAM;Sub Holding;Sub Holding Descr;P/N;Internal Company Code;Order Type Descr;Weight new booking;Q.TY;Currency;Exchange;Cost Currency Perc;Cost Euro Perc;Price Currency Perc;Price Euro Perc;Tot Cost Currency;Tot Cost Currency Weighted;Total Cost Euro;Total Cost Euro Weighted;Tot Turnover Currency;Tot Turnovr Curr Weighted;Tot Turnover Euro;Tot Turnover Euro Weighted;Weight per part (kg);Product Type;SOP Q_/YEAR Date;SOP+1 Euro;SOP+2 Euro;SOP+3 Euro;Macro Cod;Macro Application
12;06/01/2020;211;PAER GROUP;GKB6;Group Sales GKB6;GKB6;Sales Customer GKB6;USA;Company USA;PA100LA;NZAPA;NEW;;264000,000;USD;1,120000;35,210000;31,440000;39,730000;35,470000;92954,400000;;82995,000000;;104887,200000;;93649,290000;;0,328000;;0;;;;;
13;07/01/2020;010;FO G GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FOW720B;682-ZNFO;MODIFICATION;;1,000;USD;1,120000;;;;;;;;;;;;;0,047174;;0;;;;;
15;07/01/2020;;;GKE8;Group Sales GKE8;GKE8;Sales Customer GKE8;CHN;CHN;D12-4;031202;NEW;;364000,000;CNY;7,800000;786,100000;100,780000;1062,000000;136,150000;2861400,360000;;366846,200000;;3865680,000000;;495600,000000;;0,507000;NO;20200701;190897,780000;381795,560000;477244,440000;A03;Engine
16;08/01/2020;;;GK52;Group Sales GK52;GK52;Sales Customer GK52;ADT;Company ADT;70514;101050;NEW;;400000,000;EUR;1,000000;1,500000;1,500000;2,540000;2,540000;6000,000000;;6000,000000;;10160,000000;;10160,000000;;0,004000;NO;20200401;11430,000000;12700,000000;12192,000000;A11;General_Industry
17;09/01/2020;224;ADNT GROUP;GK19;Group Sales GK19;GKD3;Sales Customer GKD3;USA;Company USA;ADP1-01;MD1251AD;EXTENSION;;123200,000;USD;1,120000;4,940000;4,410000;5,500000;4,910000;6086,080000;;5434,000000;;6776,000000;;6050,000000;;0,003701;;0;;;;;
18;09/01/2020;048;JOSO GROUP;GKB6;Group Sales GKB6;GKB6;Sales Customer GKB6;USA;Company USA;JOM10SB;683-SWJO;NEW;;150000,000;USD;1,120000;12,210000;10,900000;13,440000;12,000000;18315,000000;;16352,680000;;20160,000000;;18000,000000;;0,029030;;0;;;;;
19;10/01/2020;013;MAA  GROUP;GK19;Group Sales GK19;GKD1;Sales Customer GKD1;USA;Company USA;MA91857;MD2277MA;EXTENSION;;3994176,000;USD;1,120000;8,070000;7,210000;9,200000;8,210000;322330,000000;;287794,650000;;367464,190000;;328093,030000;;0,021772;;0;;;;;
20;14/01/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;FRA;Company France;RE06955;V070CARE;REORDER;;7200,000;EUR;1,000000;6,490000;6,490000;8,730000;8,730000;467,280000;;467,280000;;628,560000;;628,560000;;0,025000;NO;0;;;;;
21;14/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;PEPH201;6E9242PE;REORDER;;1000,000;EUR;1,000000;125,820000;125,820000;240,000000;240,000000;1258,200000;;1258,200000;;2400,000000;;2400,000000;;0,127000;NO;0;;;;;
22;14/01/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE46930;0C2141RE;REORDER;;1440,000;EUR;1,000000;49,480000;49,480000;110,520000;110,520000;712,510000;;712,510000;;1591,490000;;1591,490000;;0,215200;NO;0;;;;;
23;14/01/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE40900;02H121RE;REORDER;;6100,000;EUR;1,000000;26,500000;26,500000;38,400000;38,400000;1616,500000;;1616,500000;;2342,400000;;2342,400000;;0,097000;NO;0;;;;;
24;15/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;022141PE;REORDER;;1520,000;EUR;1,000000;33,750000;33,750000;77,000000;77,000000;513,000000;;513,000000;;1170,400000;;1170,400000;;0,158000;NO;0;;;;;
25;15/01/2020;010;FO G GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FOW71XD;0023AWFO;NEW;;35000,000;USD;1,120000;7,660000;6,840000;6,540000;5,830000;2681,000000;;2393,750000;;2287,250000;;2042,190000;;0,007915;;0;;;;;
27;16/01/2020;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;AGR;Company SPA;BM9 936;0F2140BM;NEW;;880000,000;EUR;1,000000;25,890000;25,890000;30,900000;30,900000;227832,000000;;227832,000000;;271920,000000;;271920,000000;;0,130000;NO;0;;;;;
28;16/01/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE46930;0B1080RE;REORDER;;380,000;EUR;1,000000;9,650000;9,650000;25,150000;25,150000;36,670000;;36,670000;;95,570000;;95,570000;;0,028700;NO;0;;;;;
29;19/01/2020;;;GKE8;Group Sales GKE8;GKE8;Sales Customer GKE8;CHN;CHN;10000;0F2090;EXTENSION;;250000,000;CNY;7,800000;69,000000;8,850000;100,000000;12,820000;172500,000000;;22115,380000;;250000,000000;;32051,280000;;0,029000;NO;20200101;12345,680000;24691,360000;30864,200000;A03;Engine
30;20/01/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77092;0B1100RE;EXTENSION;;155400,000;EUR;1,000000;7,580000;7,580000;10,450000;10,450000;11779,320000;;11779,320000;;16237,120000;;16237,120000;;0,039500;NO;20220101;;;;;
31;20/01/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;FRA;Company France;RE77049;G151CARE;EXTENSION;;25900,000;EUR;1,000000;10,580000;10,580000;18,670000;18,670000;2740,220000;;2740,220000;;4834,490000;;4834,490000;;0,041500;NO;20220101;;;;;
32;20/01/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77098;0B1100RE;EXTENSION;;10000,000;EUR;1,000000;8,580000;8,580000;7,610000;7,610000;858,000000;;858,000000;;761,230000;;761,230000;;0,039400;NO;20200101;;;;;
33;20/01/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;FRA;Company France;RE77014;V15RE;NEW;;320000,000;EUR;1,000000;22,590000;22,590000;28,200000;28,200000;72288,000000;;72288,000000;;90240,000000;;90240,000000;;0,082850;NO;20200101;;;;;
34;20/01/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77015;NZARE;NEW;;100000,000;EUR;1,000000;5,960000;5,960000;10,000000;10,000000;5960,000000;;5960,000000;;10000,000000;;10000,000000;;0,010900;NO;20200101;;;;;
35;20/01/2020;116;CAEL GROUP;GKB1;Group Sales GKB1;GKB1;Sales Customer GKB1;ADT;Company ADT;CA11462;990020CA;NEW;;2000,000;EUR;1,000000;9,240000;9,240000;13,900000;13,900000;184,800000;;184,800000;;278,000000;;278,000000;;0,003000;NO;20200101;;;;A10;Others
36;20/01/2020;014;IZI FRW GROUP;GK65;Group Sales GK65;GK16;Sales Customer GK16;AGR;Company SPA;ZF68801;0FR120ZF;EXTENSION;;77000,000;EUR;1,000000;22,020000;22,020000;29,190000;29,190000;16955,400000;;16955,400000;;22476,300000;;22476,300000;;0,078300;NO;20210101;22477,000000;22477,000000;;A01;Mobile
37;20/01/2020;014;IZI FRW GROUP;GK65;Group Sales GK65;GK16;Sales Customer GK16;AGR;Company SPA;ZF91863;0BR060ZF;EXTENSION;;107000,000;EUR;1,000000;4,100000;4,100000;8,300000;8,300000;4387,000000;;4387,000000;;8881,000000;;8881,000000;;0,016000;NO;20210101;9830,000000;9830,000000;;A01;Mobile
38;20/01/2020;004;FAIC GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FC065AA;0026AYFC;EXTENSION;;879241,000;USD;1,120000;5,300000;4,730000;6,480000;5,790000;46599,770000;;41606,940000;;56974,820000;;50870,370000;;0,008709;;0;;;;;
39;21/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;108120PE;NEW;;5040,000;EUR;1,000000;14,000000;14,000000;32,130000;32,130000;705,600000;;705,600000;;1619,350000;;1619,350000;;0,060000;NO;20200101;1619,000000;1619,000000;1619,000000;A05;Mobile
40;21/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;PEPH201;742222PE;REORDER;;400,000;EUR;1,000000;45,600000;45,600000;85,810000;85,810000;182,400000;;182,400000;;343,240000;;343,240000;;0,072000;NO;0;;;;;
41;21/01/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE47955;108120RE;NEW;;7000,000;EUR;1,000000;14,000000;14,000000;25,950000;25,950000;980,000000;;980,000000;;1816,500000;;1816,500000;;0,060000;NO;0;;;;;
42;21/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;0C2141PE;NEW;;2040,000;EUR;1,000000;51,310000;51,310000;105,000000;105,000000;1046,720000;;1046,720000;;2142,000000;;2142,000000;;0,176000;NO;20200101;2142,000000;2142,000000;2142,000000;A10;Others
44;23/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;PEPH201;742222PE;REORDER;;1000,000;EUR;1,000000;45,600000;45,600000;85,810000;85,810000;456,000000;;456,000000;;858,100000;;858,100000;;0,072000;NO;0;;;;;
45;23/01/2020;071;BAR& GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;FRA;Company France;BA41066;060,14BA;REORDER;;42000,000;EUR;1,000000;0,880000;0,880000;1,250000;1,250000;369,600000;;369,600000;;525,000000;;525,000000;;0,001240;NO;0;;;;;
46;23/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;0C2120PE;REORDER;;7200,000;EUR;1,000000;11,460000;11,460000;24,010000;24,010000;825,120000;;825,120000;;1728,720000;;1728,720000;;0,005860;NO;0;;;;;
47;23/01/2020;010;FO G GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FOW7200;NZAFO;NEW;;126000,000;USD;1,120000;24,600000;21,960000;29,600000;26,430000;30996,000000;;27675,000000;;37296,000000;;33300,000000;;0,047627;;0;;;;;
48;24/01/2020;055;AULI GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;AGR;Company SPA;AU5890B;0A5710AU;MODIFICATION;;245000,000;EUR;1,000000;9,080000;9,080000;11,010000;11,010000;22246,000000;;22246,000000;;26974,500000;;26974,500000;;0,030500;NO;0;;;;;
49;24/01/2020;055;AULI GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;AGR;Company SPA;AU5890B;0A5710AU;MODIFICATION;;100000,000;EUR;1,000000;10,210000;10,210000;12,710000;12,710000;10210,000000;;10210,000000;;12710,000000;;12710,000000;;0,037000;NO;0;;;;;
50;24/01/2020;055;AULI GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;AGR;Company SPA;AU5508C;0A5710AU;MODIFICATION;;50000,000;EUR;1,000000;11,310000;11,310000;13,580000;13,580000;5655,000000;;5655,000000;;6790,000000;;6790,000000;;0,033800;NO;0;;;;;
51;24/01/2020;055;AULI GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;AGR;Company SPA;AU5890B;0A5710AU;MODIFICATION;;109000,000;EUR;1,000000;8,920000;8,920000;11,400000;11,400000;9722,800000;;9722,800000;;12426,000000;;12426,000000;;0,027300;NO;0;;;;;
52;24/01/2020;055;AULI GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;AGR;Company SPA;AU5508C;021080AU;MODIFICATION;;1200000,000;EUR;1,000000;3,510000;3,510000;4,370000;4,370000;42120,000000;;42120,000000;;52440,000000;;52440,000000;;0,012850;NO;0;;;;;
53;24/01/2020;055;AULI GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;AGR;Company SPA;AU5508C;0A5710AU;MODIFICATION;;390000,000;EUR;1,000000;9,380000;9,380000;11,880000;11,880000;36582,000000;;36582,000000;;46332,000000;;46332,000000;;0,037000;NO;0;;;;;
54;24/01/2020;055;AULI GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;AGR;Company SPA;AU5890B;0A5710AU;MODIFICATION;;309000,000;EUR;1,000000;8,050000;8,050000;9,940000;9,940000;24874,500000;;24874,500000;;30714,600000;;30714,600000;;0,023500;NO;0;;;;;
55;24/01/2020;055;AULI GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;AGR;Company SPA;AU5320C;2C1100AU;MODIFICATION;;100000,000;EUR;1,000000;14,270000;14,270000;16,480000;16,480000;14270,000000;;14270,000000;;16480,000000;;16480,000000;;0,035500;NO;0;;;;;
56;24/01/2020;055;AULI GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;AGR;Company SPA;AU6260A;2BY710AU;NEW;;17000,000;EUR;1,000000;16,980000;16,980000;31,170000;31,170000;2886,600000;;2886,600000;;5298,900000;;5298,900000;;0,052710;NO;0;;;;;
57;24/01/2020;055;AULI GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;AGR;Company SPA;AU6261A;2BY710AU;NEW;;24000,000;EUR;1,000000;17,140000;17,140000;33,500000;33,500000;4113,600000;;4113,600000;;8040,000000;;8040,000000;;0,052710;NO;0;;;;;
58;27/01/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;FRA;Company France;RE1657R;077,05RE;NEW;;440000,000;EUR;1,000000;11,030000;11,030000;15,400000;15,400000;48532,000000;;48532,000000;;67760,000000;;67760,000000;;0,024160;NO;0;;;;;
59;27/01/2020;;;GKA8;Group Sales GKA8;GKA8;Sales Customer GKA8;ADT;Company ADT;76714;6S2101;NEW;;6000,000;EUR;1,000000;7,060000;7,060000;8,310000;8,310000;423,600000;;423,600000;;498,600000;;498,600000;;0,020000;NO;20200101;;;;A07;Body
60;27/01/2020;I02;Coan GROUP;GKI0;Group Sales GKI0;GKI0;Sales Customer GKI0;AGR;Company SPA;Co25821;201060Co;NEW;;1600000,000;EUR;1,000000;6,390000;6,390000;9,950000;9,950000;102240,000000;;102240,000000;;159200,000000;;159200,000000;;0,014300;NO;0;;;;;
61;27/01/2020;004;FAIC GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;AGR;Company SPA;FC46380;0H4B06FC;EXTENSION;;96310,000;EUR;1,000000;9,340000;9,340000;15,610000;15,610000;8995,350000;;8995,350000;;15033,990000;;15033,990000;;0,012800;NO;20210101;29659,000000;31220,000000;14259,000000;;
62;28/01/2020;;;GKA6;Group Sales GKA6;GKA6;Sales Customer GKA6;ADT;Company ADT;93D00;8D1121;NEW;;1000,000;EUR;1,000000;5,110000;5,110000;6,010000;6,010000;51,100000;;51,100000;;60,100000;;60,100000;;0,021000;NO;20200101;;;;A10;Others
63;28/01/2020;;;GKA6;Group Sales GKA6;GKA6;Sales Customer GKA6;ADT;Company ADT;93D00;8D1101;NEW;;1000,000;EUR;1,000000;3,490000;3,490000;4,100000;4,100000;34,900000;;34,900000;;41,000000;;41,000000;;0,012000;NO;20200101;;;;A10;Others
64;28/01/2020;;;GKA6;Group Sales GKA6;GKA6;Sales Customer GKA6;ADT;Company ADT;93D00;8D1121;NEW;;1000,000;EUR;1,000000;4,470000;4,470000;5,250000;5,250000;44,700000;;44,700000;;52,500000;;52,500000;;0,021000;NO;20200101;;;;A10;Others
65;28/01/2020;;;GKA6;Group Sales GKA6;GKA6;Sales Customer GKA6;ADT;Company ADT;93D00;8D1101;NEW;;1000,000;EUR;1,000000;2,520000;2,520000;2,970000;2,970000;25,200000;;25,200000;;29,700000;;29,700000;;0,012000;NO;20200101;;;;A10;Others
66;28/01/2020;071;BAR& GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;ESX;ESX;BA41101;0H1120BA;REORDER;;40000,000;EUR;1,000000;52,070000;52,070000;62,380000;62,380000;20829,200000;;20829,200000;;24952,000000;;24952,000000;;0,088200;NO;0;;;;;
67;28/01/2020;055;AULI GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;ESX;ESX;AU5500C;5X5710AU;MODIFICATION;;700000,000;EUR;1,000000;11,150000;11,150000;16,980000;16,980000;78050,000000;;78050,000000;;118860,000000;;118860,000000;;0,038000;SI;0;118860,000000;118860,000000;118860,000000;A09;Systems
68;28/01/2020;044;NORE GROUP;GK93;Group Sales GK93;GK93;Sales Customer GK93;ESX;ESX;NO96996;2G0151NO;EXTENSION;;670000,000;EUR;1,000000;4,740000;4,740000;7,490000;7,490000;31758,000000;;31758,000000;;50183,000000;;50183,000000;;0,011500;SI;0;50183,000000;50183,000000;50183,000000;A03;Engine
69;28/01/2020;044;NORE GROUP;GK93;Group Sales GK93;GK93;Sales Customer GK93;ESX;ESX;NO96996;2G0151NO;EXTENSION;;290000,000;EUR;1,000000;4,740000;4,740000;8,700000;8,700000;13746,000000;;13746,000000;;25230,000000;;25230,000000;;0,011500;SI;0;25230,000000;25230,000000;25230,000000;A03;Engine
70;28/01/2020;038;SOFI GROUP;GK19;Group Sales GK19;GK93;Sales Customer GK93;ESX;ESX;SOX1651;4G1050SO;NEW;;1100000,000;EUR;1,000000;15,160000;15,160000;19,300000;19,300000;166760,000000;;166760,000000;;212300,000000;;212300,000000;;0,013500;SI;20200701;123520,000000;212300,000000;212300,000000;A03;Engine
71;28/01/2020;022;BRBO GROUP;GK19;Group Sales GK19;GK67;Sales Customer GK67;ESX;ESX;BR20622;231080BR;EXTENSION;;240000,000;EUR;1,000000;24,570000;24,570000;38,330000;38,330000;58968,000000;;58968,000000;;91992,000000;;91992,000000;;0,045100;SI;0;91992,000000;91992,000000;91992,000000;A02;Mobile
72;28/01/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE47955;108120RE;NEW;;5000,000;EUR;1,000000;12,130000;12,130000;17,400000;17,400000;606,500000;;606,500000;;870,000000;;870,000000;;0,059700;NO;20200101;870,000000;870,000000;870,000000;A10;Others
73;28/01/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE47955;108120RE;NEW;;3000,000;EUR;1,000000;11,440000;11,440000;25,650000;25,650000;343,200000;;343,200000;;769,500000;;769,500000;;0,060000;NO;20200101;770,000000;770,000000;770,000000;A05;Mobile
74;28/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;102090PE;REORDER;;7200,000;EUR;1,000000;7,210000;7,210000;13,440000;13,440000;519,120000;;519,120000;;967,680000;;967,680000;;0,019800;NO;0;;;;;
75;28/01/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;FRA;Company France;RE46951;V041CARE;REORDER;;4480,000;EUR;1,000000;5,950000;5,950000;20,320000;20,320000;266,560000;;266,560000;;910,340000;;910,340000;;0,027400;NO;0;;;;;
76;28/01/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE46925;101100RE;REORDER;;18400,000;EUR;1,000000;5,670000;5,670000;15,010000;15,010000;1043,280000;;1043,280000;;2761,840000;;2761,840000;;0,014000;NO;0;;;;;
77;28/01/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE44890;032140RE;REORDER;;1500,000;EUR;1,000000;52,210000;52,210000;115,730000;115,730000;783,150000;;783,150000;;1735,950000;;1735,950000;;0,202000;NO;0;;;;;
78;28/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;012100PE;REORDER;;4000,000;EUR;1,000000;12,400000;12,400000;23,870000;23,870000;496,000000;;496,000000;;954,800000;;954,800000;;0,046000;NO;0;;;;;
79;28/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPF101;031100PE;REORDER;;12000,000;EUR;1,000000;8,660000;8,660000;22,460000;22,460000;1039,200000;;1039,200000;;2695,200000;;2695,200000;;0,035000;NO;0;;;;;
80;28/01/2020;;;GKC8;Group Sales GKC8;GKC8;Sales Customer GKC8;USA;Company USA;W5051;0647BD;NEW;;1470912,000;USD;1,120000;2,400000;2,140000;2,770000;2,470000;35301,890000;;31519,540000;;40744,260000;;36378,810000;;0,004082;;0;;;;;
81;28/01/2020;;;GKD5;Group Sales GKD5;GKD5;Sales Customer GKD5;USA;Company USA;715TD;0641BZ;EXTENSION;;3200000,000;USD;1,120000;6,330000;5,650000;8,130000;7,260000;202560,000000;;180857,140000;;260096,000000;;232228,570000;;0,011036;;0;;;;;
82;29/01/2020;004;FAIC GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FC061AA;0025AYFC;EXTENSION;;63814,000;USD;1,120000;4,120000;3,680000;4,980000;4,450000;2629,140000;;2347,440000;;3177,940000;;2837,440000;;0,008024;;0;;;;;
83;29/01/2020;;;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;065AA;0650AV;EXTENSION;;240000,000;USD;1,120000;8,810000;7,870000;11,870000;10,600000;21144,000000;;18878,570000;;28488,000000;;25435,710000;;0,008164;;0;;;;;
84;30/01/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE1128C;0C2121RE;MODIFICATION;;1,000;EUR;1,000000;;;;;;;;;;;;;0,121000;NO;0;;;;;
85;30/01/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;FRA;Company France;RE40942;V011CARE;REORDER;;20000,000;EUR;1,000000;8,440000;8,440000;18,890000;18,890000;1688,000000;;1688,000000;;3778,000000;;3778,000000;;0,022000;NO;0;;;;;
86;30/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;0C2120PE;REORDER;;20000,000;EUR;1,000000;11,460000;11,460000;24,010000;24,010000;2292,000000;;2292,000000;;4802,000000;;4802,000000;;0,058600;NO;0;;;;;
87;30/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;012100PE;REORDER;;4000,000;EUR;1,000000;12,400000;12,400000;23,780000;23,780000;496,000000;;496,000000;;951,200000;;951,200000;;0,046000;NO;0;;;;;
88;30/01/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;0C1120PE;REORDER;;10200,000;EUR;1,000000;18,300000;18,300000;41,990000;41,990000;1866,600000;;1866,600000;;4282,980000;;4282,980000;;0,636800;NO;0;;;;;
89;30/01/2020;006;ABAM GROUP;GK65;Group Sales GK65;GKU2;Sales Customer GKU2;USA;Company USA;BM88301;2B1060BM;NEW;;600000,000;USD;1,120000;6,690000;5,970000;7,880000;7,040000;40140,000000;;35839,290000;;47280,000000;;42214,290000;;0,007257;NO;0;;;;;
90;31/01/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;RE46950;6E9333RE;REORDER;;75,000;EUR;1,000000;102,220000;102,220000;205,080000;205,080000;76,670000;;76,670000;;153,810000;;153,810000;;0,247920;NO;0;;;;;
91;01/02/2020;070;FAL  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;FALJ9AB;8B1141FA;NEW;;130000,000;EUR;1,000000;;;;;;;;;;;;;0,054000;NO;0;;;;;
92;01/02/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;FRA;Company France;RE77052;NZARE;NEW;;8640,000;EUR;1,000000;56,820000;56,820000;108,800000;108,800000;4909,250000;;4909,250000;;9400,320000;;9400,320000;;0,138030;;0;;;;;
